                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.79467,                0.92425,                 1.1035,                0.59974,                0.68592,                 0.7068,                0.49471,                 1.3716,                 1.8129,                 1.6488,             0.00014586,             0.00014586,             0.00014586
                     76,                0.81867,                0.90877,                 1.0889,                0.66129,                0.63494,                0.67036,                0.47944,                  1.454,                 1.8259,                 1.7181,             0.00014065,             0.00014065,             0.00014065
                     77,                0.78797,                 0.9596,                 1.1033,                0.71844,                0.67018,                0.74926,                0.52801,                  1.382,                 1.7433,                 1.6835,             0.00013544,             0.00013544,             0.00013544
                     78,                0.78272,                0.88005,                 1.0884,                0.59674,                0.69245,                 0.7368,                0.52114,                 1.4015,                 1.8368,                 1.7088,             0.00013024,             0.00013024,             0.00013024
                     79,                0.78793,                0.99154,                 1.1102,                0.64978,                0.67403,                0.72744,                0.53657,                 1.3734,                 1.8215,                 1.7016,             0.00012503,             0.00012503,             0.00012503
                     80,                0.75092,                0.92906,                 1.0896,                0.78468,                0.51321,                0.64576,                 0.4765,                 1.3999,                 1.7151,                 1.6829,             0.00011982,             0.00011982,             0.00011982
                     81,                0.80318,                0.92346,                 1.0918,                0.78684,                0.52944,                0.63979,                0.47545,                 1.3598,                 1.6748,                 1.6615,             0.00011462,             0.00011462,             0.00011462
                     82,                0.78112,                0.86949,                 1.0779,                0.82512,                0.51068,                0.64851,                 0.4732,                 1.3325,                 1.8284,                 1.6447,             0.00010941,             0.00010941,             0.00010941
                     83,                0.78198,                0.88959,                 1.0939,                0.69949,                0.65248,                0.71318,                0.52102,                 1.3548,                 1.7543,                  1.643,              0.0001042,              0.0001042,              0.0001042
                     84,                0.75089,                0.87718,                 1.0671,                0.78748,                0.60417,                0.69311,                0.51246,                 1.3261,                 1.7395,                 1.6245,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     85,                0.78708,                0.91548,                 1.0926,                0.70411,                 0.6729,                0.72626,                  0.538,                 1.3948,                  1.771,                 1.6749,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     86,                0.77539,                0.86487,                 1.0827,                0.63222,                 0.6875,                0.71456,                0.53255,                 1.4354,                 1.7835,                 1.6948,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     87,                0.75514,                0.85289,                 1.0687,                0.77053,                 0.5625,                0.68785,                0.50701,                 1.4217,                 1.8398,                 1.6834,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     88,                0.73432,                0.85501,                 1.0537,                0.78104,                0.54553,                0.65093,                0.44932,                  1.347,                 1.8312,                 1.6509,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     89,                0.77532,                0.85605,                 1.0733,                0.51926,                 0.6875,                0.71131,                0.52387,                 1.3802,                 1.8111,                 1.6765,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     90,                 0.7546,                 0.8347,                  1.067,                 0.4861,                 0.6875,                0.71199,                0.51689,                 1.2981,                 1.6761,                 1.6172,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     91,                0.74983,                 1.0503,                   1.12,                0.51523,                0.72917,                0.65801,                0.48201,                  1.248,                 1.6986,                 1.5507,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     92,                0.78781,                0.90309,                  1.148,                 0.6049,                0.72917,                0.65451,                0.47942,                 1.2497,                 1.6826,                 1.5109,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     93,                0.70236,                0.93281,                 1.0328,                0.63974,                0.71368,                0.65996,                0.47524,                 1.3389,                 1.6976,                 1.5657,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     94,                0.64941,                0.77327,                 1.0252,                0.75751,                 0.6654,                0.73566,                0.51832,                 1.3295,                 1.6111,                 1.5668,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     95,                0.68603,                0.78708,                 1.0127,                0.87183,                0.59886,                0.73654,                0.50841,                 1.3569,                 1.6653,                 1.5766,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     96,                0.67273,                0.91477,                 1.0897,                0.64535,                0.70289,                0.73705,                0.51328,                 1.3603,                 1.7102,                 1.5696,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     97,                0.66993,                0.77969,                 1.0169,                0.72318,                0.66156,                0.72659,                 0.5082,                 1.3405,                 1.7358,                 1.5642,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     98,                0.70289,                0.78506,                 1.1539,                0.61112,                 0.6875,                0.72854,                0.49736,                 1.3239,                  1.696,                 1.5642,              2.609e-05,              2.609e-05,              2.609e-05
                     99,                0.63047,                0.77486,                 1.0178,                0.86365,                0.52676,                0.65745,                0.47555,                 1.3315,                 1.6824,                 1.5703,             2.0882e-05,             2.0882e-05,             2.0882e-05
                    100,                0.65257,                 0.7641,                 1.0377,                0.89095,                0.52234,                0.65684,                0.47329,                 1.3407,                 1.7043,                 1.5819,             1.5675e-05,             1.5675e-05,             1.5675e-05
