                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.97209,                 1.1016,                 1.1988,                0.62081,                0.52743,                0.50669,                0.25544,                 1.7341,                 2.0097,                 1.8997,               0.009604,               0.009604,               0.009604
                     83,                0.97451,                 1.0818,                 1.1926,                0.43005,                0.60714,                0.49272,                0.21868,                  1.705,                 2.0717,                 1.8689,               0.009599,               0.009599,               0.009599
                     84,                0.95351,                 1.0517,                 1.1827,                0.38165,                0.58253,                0.50868,                 0.2279,                 1.6541,                 2.0889,                 1.8465,              0.0095941,              0.0095941,              0.0095941
                     85,                0.98406,                 1.0956,                 1.2033,                0.58883,                0.47776,                0.45574,                0.22054,                 1.7492,                  2.055,                 1.8648,              0.0095892,              0.0095892,              0.0095892
                     86,                0.95399,                 1.0263,                 1.1662,                0.57319,                0.57476,                0.49231,                0.24876,                 1.6803,                 2.0392,                 1.8175,              0.0095842,              0.0095842,              0.0095842
                     87,                0.96045,                 1.0568,                  1.199,                0.55368,                0.44701,                0.45556,                0.25109,                 1.5771,                 2.0051,                 1.7677,              0.0095793,              0.0095793,              0.0095793
                     88,                0.96577,                 1.0734,                  1.182,                0.54648,                0.58009,                 0.5007,                0.27564,                 1.4957,                 1.9386,                 1.6391,              0.0095743,              0.0095743,              0.0095743
                     89,                0.94118,                0.99593,                 1.1581,                0.56169,                 0.4863,                0.46186,                0.25865,                 1.5167,                 2.0135,                 1.6463,              0.0095694,              0.0095694,              0.0095694
                     90,                0.91678,                 1.0062,                 1.1563,                0.56556,                0.52399,                0.52677,                0.29842,                  1.551,                 1.8987,                 1.6424,              0.0095644,              0.0095644,              0.0095644
                     91,                0.94862,                 1.0309,                 1.1741,                0.55411,                0.59632,                0.53934,                0.29299,                 1.5811,                  2.052,                 1.6886,              0.0095595,              0.0095595,              0.0095595
                     92,                0.95637,                 1.0514,                 1.1564,                0.69621,                 0.4556,                0.49913,                0.27294,                 1.6843,                 1.9742,                 1.8112,              0.0095545,              0.0095545,              0.0095545
                     93,                0.95615,                 1.0325,                 1.1896,                0.71099,                0.46527,                0.48379,                0.27126,                 1.6369,                 2.0133,                 1.8064,              0.0095496,              0.0095496,              0.0095496
                     94,                0.90542,                0.95344,                 1.1293,                 0.8314,                0.43969,                0.53426,                0.27461,                 1.6316,                  1.966,                 1.8571,              0.0095446,              0.0095446,              0.0095446
                     95,                0.95871,                0.97639,                 1.1633,                0.72655,                0.43264,                0.52712,                0.27031,                 1.6924,                 1.9436,                 1.9184,              0.0095397,              0.0095397,              0.0095397
